"Main Device","Site","External service type","Company","Trade-in code","Additional Info","Device trade-in amount","Enhanced trade-in discount"
"SM-X806BZSBEUB","de","null","null","null","null","null","null"
"SM-X806BZSAEUB","de","null","null","null","null","null","null"
"SM-X806BZABEUB","de","null","null","null","null","null","null"
"SM-X806BIDBEUB","de","null","null","null","null","null","null"
"SM-X806BIDAEUB","de","null","null","null","null","null","null"
"RZ32M711ES9","de","null","null","null","null","null","null"
"SM-X800NZAAEUB","de","null","null","null","null","null","null"
"SM-X800NZSAEUB","de","null","null","null","null","null","null"
"SM-X800NIDAEUB","de","null","null","null","null","null","null"
"SM-X800NZSBEUB","de","null","null","null","null","null","null"
"SM-X800NZABEUB","de","null","null","null","null","null","null"
"SM-X800NIDBEUB","de","null","null","null","null","null","null"
"MC28M6035","de","null","null","null","null","null","null"
"SM-R865FZSADBT","de","null","null","null","null","null","null"
"SM-R865FZDADBT","de","null","null","null","null","null","null"
"SM-R865FZKADBT","de","null","null","null","null","null","null"
"GQ43LS01B","de","null","null","null","null","null","null"
"SM-R860NZSADBT","de","null","null","null","null","null","null"
"SM-R860NZDADBT","de","null","null","null","null","null","null"
"SM-R860NZDDWEU","de","null","null","null","null","null","null"
"SM-R860NZKADBT","de","null","null","null","null","null","null"
"SM-R860NZSDWEU","de","null","null","null","null","null","null"
"SM-R860NZKDWEU","de","null","null","null","null","null","null"
"RL38A7B63B1","de","null","null","null","null","null","null"
"SM-R875FZKADBT","de","null","null","null","null","null","null"
"SM-R875FZGADBT","de","null","null","null","null","null","null"
"SM-R875FZSADBT","de","null","null","null","null","null","null"
"S27BM500EU","de","null","null","null","null","null","null"
"SM-R870NZGDWEU","de","null","null","null","null","null","null"
"SM-R870NZKADBT","de","null","null","null","null","null","null"
"SM-R870NZSADBT","de","null","null","null","null","null","null"
"SM-R870NZKDWEU","de","null","null","null","null","null","null"
"SM-R870NZSDWEU","de","null","null","null","null","null","null"
"EF-RS908","de","null","null","null","null","null","null"
