"Main Devices","Sites","SC+ codes","SC+ title","SC+ price","SC+ promo price","SC+ TnC"
"SM-G991BZVGEUB","de","null","null","null","null","null"
"SM-G990BZADEUB","de","null","null","null","null","null"
"SM-G990BLVWEUB","de","SMC-DE-AD-12-HHP-S21FE","1 Jahr Samsung Care+","49.0","null","https://images.samsung.com/is/content/samsung/assets/de/mobile/samsungcareplus_assurant_allgemeineversicherungsbedingungen_produktinformationsblatt.pdf"
"SM-G990BLVWEUB","de","SMC-DE-AD-24-HHP-S21FE","2 Jahre Samsung Care+","89.0","null","https://images.samsung.com/is/content/samsung/assets/de/mobile/samsungcareplus_assurant_allgemeineversicherungsbedingungen_produktinformationsblatt.pdf"
"SM-G990BLVWEUB","de","SMC-DE-ADT-12-HHP-S21FE","1 Jahr Samsung Care+ mit Diebstahlschutz","79.0","null","https://images.samsung.com/is/content/samsung/assets/de/mobile/samsungcareplus_assurant_allgemeineversicherungsbedingungen_produktinformationsblatt_Diebstahlschutz.pdf"
"SM-G990BLVWEUB","de","SMC-DE-ADT-24-HHP-S21FE","2 Jahre Samsung Care+ mit Diebstahlschutz","139.0","null","https://images.samsung.com/is/content/samsung/assets/de/mobile/samsungcareplus_assurant_allgemeineversicherungsbedingungen_produktinformationsblatt_Diebstahlschutz.pdf"
"SM-G990BZAWEUB","de","SMC-DE-AD-12-HHP-S21FE","1 Jahr Samsung Care+","49.0","null","https://images.samsung.com/is/content/samsung/assets/de/mobile/samsungcareplus_assurant_allgemeineversicherungsbedingungen_produktinformationsblatt.pdf"
"SM-G990BZAWEUB","de","SMC-DE-AD-24-HHP-S21FE","2 Jahre Samsung Care+","89.0","null","https://images.samsung.com/is/content/samsung/assets/de/mobile/samsungcareplus_assurant_allgemeineversicherungsbedingungen_produktinformationsblatt.pdf"
"SM-G990BZAWEUB","de","SMC-DE-ADT-12-HHP-S21FE","1 Jahr Samsung Care+ mit Diebstahlschutz","79.0","null","https://images.samsung.com/is/content/samsung/assets/de/mobile/samsungcareplus_assurant_allgemeineversicherungsbedingungen_produktinformationsblatt_Diebstahlschutz.pdf"
"SM-G990BZAWEUB","de","SMC-DE-ADT-24-HHP-S21FE","2 Jahre Samsung Care+ mit Diebstahlschutz","139.0","null","https://images.samsung.com/is/content/samsung/assets/de/mobile/samsungcareplus_assurant_allgemeineversicherungsbedingungen_produktinformationsblatt_Diebstahlschutz.pdf"
"SM-G990BLVFEUB","de","SMC-DE-AD-12-HHP-S21FE","1 Jahr Samsung Care+","49.0","null","https://images.samsung.com/is/content/samsung/assets/de/mobile/samsungcareplus_assurant_allgemeineversicherungsbedingungen_produktinformationsblatt.pdf"
"SM-G990BLVFEUB","de","SMC-DE-AD-24-HHP-S21FE","2 Jahre Samsung Care+","89.0","null","https://images.samsung.com/is/content/samsung/assets/de/mobile/samsungcareplus_assurant_allgemeineversicherungsbedingungen_produktinformationsblatt.pdf"
